ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
17:50:31,56.6,0.0,1.4,0.0,23.0,85.0,-81,-10,31,2,11,20,744,0
17:50:32,69.9,0.0,1.4,0.0,21.1,93.1,-80,-7,32,2,8,20,744,0
17:50:33,75.9,0.0,1.2,0.1,23.0,85.0,-82,-10,32,2,8,20,744,0
17:50:34,66.8,0.0,1.3,0.0,24.5,84.0,-86,-14,32,2,8,20,744,0
17:50:35,59.0,0.0,1.1,0.0,23.0,85.0,-75,-10,36,2,6,20,744,0
17:50:36,57.2,0.0,1.2,0.0,22.3,93.0,-77,-7,32,2,7,20,744,0
17:50:37,66.3,0.0,1.2,0.0,23.0,85.0,-79,-10,30,2,7,20,744,0
17:50:38,61.4,0.0,1.1,0.0,24.1,92.9,-82,-6,29,2,7,20,744,0
17:50:39,57.3,0.0,1.2,0.0,23.0,85.0,-81,-10,26,2,13,20,744,0
17:50:40,65.4,0.0,1.1,0.0,21.7,87.9,-85,-6,27,2,13,20,744,0
17:50:41,74.2,0.0,1.2,0.0,23.0,85.0,-80,-10,35,2,6,20,744,0
17:50:42,76.4,0.0,1.2,0.0,22.0,88.1,-78,-6,33,2,6,20,744,0
17:50:43,84.5,0.0,1.1,0.0,23.0,85.0,-86,-10,32,2,9,20,744,0
17:50:44,73.5,0.0,1.2,0.0,24.3,84.3,-90,-14,28,2,9,20,744,0
17:50:45,78.6,0.0,1.2,0.0,23.0,85.0,-85,-10,30,2,9,20,744,0
17:50:46,74.2,0.0,1.2,0.0,23.6,85.9,-91,-7,30,2,11,20,744,0
17:50:47,64.9,0.0,1.2,0.0,23.0,85.0,-87,-10,31,2,11,20,744,0
17:50:48,61.5,0.0,1.2,0.0,24.6,80.5,-83,-12,34,2,11,20,744,0
17:50:49,70.9,0.0,1.3,0.0,23.0,85.0,-82,-10,33,2,8,20,744,0
17:50:50,70.5,0.0,1.4,0.0,22.6,90.3,-84,-12,30,2,8,20,744,0
17:50:51,65.7,0.0,1.3,0.0,23.0,85.0,-83,-10,35,2,6,20,744,0
