ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
16:21:10,0.0,0.0,0.1,0.0,27.0,91.0,-90,-10,7,3,2,20,146,0
16:21:11,21.3,0.0,0.0,0.0,24.8,99.7,-88,-7,8,2,0,20,146,0
16:21:12,40.4,0.0,0.0,0.0,27.0,91.0,-90,-10,8,2,0,20,146,0
16:21:13,43.4,0.0,0.0,0.0,28.7,90.0,-94,-14,8,2,0,20,146,0
16:21:14,47.2,0.0,0.0,0.1,27.0,91.0,-90,-10,7,3,1,20,146,0
16:21:15,62.8,0.0,0.0,0.1,25.7,99.0,-88,-7,11,2,0,20,146,0
16:21:16,90.4,0.0,0.0,0.0,26.0,90.0,-90,-10,9,2,0,20,146,0
16:21:17,63.1,0.0,0.0,0.0,27.3,98.4,-93,-6,8,2,0,20,146,0
16:21:18,36.6,0.0,0.0,0.0,26.0,90.0,-90,-10,4,3,0,20,146,0
16:21:19,38.0,0.0,0.1,0.2,24.6,93.1,-94,-6,5,3,0,20,146,0
16:21:20,39.8,0.0,0.3,0.3,26.0,90.0,-90,-10,7,3,5,20,146,0
16:21:21,19.2,0.0,0.7,0.6,24.9,93.3,-88,-6,5,3,5,20,146,0
16:21:22,0.0,0.0,1.0,0.8,26.0,90.0,-90,-10,5,3,1,20,146,0
16:21:23,0.0,0.0,1.2,1.0,27.5,89.8,-95,-14,0,3,1,20,146,0
16:21:24,0.0,0.0,1.4,1.0,26.0,91.0,-90,-10,2,3,1,20,146,0
16:21:25,0.0,0.0,1.5,1.3,26.7,91.5,-94,-7,6,4,2,20,146,0
16:21:26,0.0,0.0,1.5,1.5,26.0,90.0,-90,-10,7,4,2,20,146,0
16:21:27,0.0,0.0,1.4,1.5,27.8,85.2,-86,-12,10,4,2,20,146,0
16:21:28,0.0,0.0,1.5,1.5,26.0,90.0,-90,-10,8,4,3,20,146,0
16:21:29,0.0,0.0,1.4,1.6,25.5,95.7,-92,-12,5,4,3,20,146,0
16:21:30,0.0,0.0,1.2,1.6,26.0,90.0,-90,-10,10,4,4,20,146,0
16:21:31,0.0,0.0,1.3,1.5,26.0,83.7,-90,-11,5,3,1,20,146,0
16:21:32,0.0,0.0,1.3,1.6,26.0,90.0,-90,-10,7,3,1,20,146,0
16:21:33,0.0,0.0,1.3,1.5,24.0,98.3,-91,-10,10,4,3,20,146,0
16:21:34,0.0,0.0,1.4,1.7,26.0,90.0,-90,-10,9,4,3,20,146,0
16:21:35,0.0,0.0,1.5,1.7,25.7,85.9,-91,-6,6,4,3,20,146,0
16:21:36,0.0,0.0,1.5,1.4,26.0,90.0,-90,-10,6,4,1,20,146,0
16:21:37,0.0,0.0,1.5,1.4,27.9,94.7,-90,-8,5,2,1,20,146,0
16:21:38,0.0,0.0,1.5,1.5,26.0,90.0,-90,-10,5,2,1,20,146,0
16:21:39,0.0,0.0,1.5,1.3,25.6,81.7,-93,-12,6,2,1,20,146,0
16:21:40,0.0,0.0,1.4,1.4,26.0,90.0,-90,-10,7,3,0,20,146,0
16:21:41,0.0,0.0,1.4,1.7,26.4,87.2,-94,-12,5,3,0,20,146,0
16:21:42,0.0,0.0,1.6,1.8,26.0,90.0,-90,-10,8,3,0,20,146,0
16:21:43,0.0,0.0,1.6,1.5,25.9,89.8,-94,-9,1,3,1,20,146,0
16:21:44,0.0,0.0,1.4,1.5,26.0,90.0,-90,-10,1,3,1,20,146,0
16:21:45,0.0,0.0,1.5,1.5,23.5,95.9,-90,-10,2,4,5,20,146,0
16:21:46,0.0,0.0,1.5,1.6,26.0,90.0,-90,-10,5,4,5,20,146,0
16:21:47,0.0,0.0,1.5,1.5,26.8,94.1,-92,-14,11,3,4,20,146,0
16:21:48,0.0,0.0,1.5,1.5,26.0,90.0,-90,-10,10,3,4,20,146,0
16:21:49,0.0,0.0,1.5,1.6,27.7,95.5,-85,-13,13,3,4,20,146,0
16:21:50,0.0,0.0,1.5,1.7,26.0,90.0,-90,-10,5,3,3,20,146,0
16:21:51,0.0,0.0,1.4,1.7,24.3,81.8,-85,-5,3,3,3,20,146,0
16:21:52,0.0,0.0,1.5,1.3,26.0,90.0,-90,-10,9,3,3,20,146,0
16:21:53,0.0,0.0,1.6,1.4,25.0,94.9,-86,-11,7,3,5,20,146,0
16:21:54,0.0,0.0,1.5,1.4,26.0,90.0,-90,-10,8,3,5,20,146,0
16:21:55,0.0,0.0,1.4,1.5,24.7,83.2,-86,-14,10,3,5,20,146,0
16:21:56,0.0,0.0,1.4,1.3,26.0,90.0,-90,-10,8,3,5,20,146,0
16:21:57,0.0,0.0,1.3,1.4,27.4,98.5,-94,-11,10,4,0,20,146,0
