ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
16:44:57,0.0,0.0,0.3,0.1,56.0,94.0,-88,-14,-1,2,1,20,258,0
16:44:58,313.3,0.0,0.2,0.1,51.5,102.9,-82,-10,2,2,1,20,258,0
16:44:59,594.1,0.0,0.0,0.1,56.0,94.0,-84,-13,2,2,1,20,258,0
16:45:00,352.0,0.0,0.0,0.1,59.6,92.9,-88,-17,2,2,1,20,258,0
16:45:01,116.9,0.0,0.0,0.1,56.0,94.0,-88,-12,4,3,1,20,517,0
16:45:02,53.3,0.0,0.0,0.0,54.4,102.8,-89,-9,1,1,1,20,517,0
16:45:03,0.0,0.0,0.0,0.0,56.0,94.0,-91,-12,-1,1,1,20,517,0
16:45:04,0.0,0.0,0.0,0.0,58.7,102.8,-94,-8,-2,1,1,20,517,0
16:45:05,0.0,0.0,0.0,0.0,56.0,94.0,-90,-12,1,1,0,20,517,0
16:45:06,0.0,0.0,0.0,0.0,52.9,97.2,-94,-8,2,1,0,20,517,0
16:45:07,0.0,0.0,0.0,0.0,56.0,94.0,-85,-11,2,2,0,20,517,0
16:45:08,0.0,0.0,0.0,0.0,53.6,97.4,-83,-7,0,2,0,20,517,0
16:45:09,0.0,0.0,0.0,0.0,56.0,94.0,-87,-11,6,2,0,20,517,0
16:45:10,0.0,0.0,0.0,0.0,59.1,93.2,-94,-15,0,2,0,20,517,0
16:45:11,0.0,0.0,0.0,0.0,56.0,94.0,-89,-11,2,2,0,20,517,0
16:45:12,0.0,0.0,0.0,0.0,57.5,95.0,-90,-8,2,2,0,20,517,0
16:45:13,0.0,0.0,0.0,0.0,56.0,94.0,-86,-11,3,2,0,20,517,0
16:45:14,0.0,0.0,0.0,0.0,60.0,89.0,-82,-13,6,2,0,20,517,0
16:45:15,0.0,0.0,0.0,0.0,56.0,94.0,-84,-11,5,2,0,20,517,0
16:45:16,0.0,0.0,0.0,0.0,55.0,99.9,-86,-13,2,2,0,20,517,0
16:45:17,0.0,0.0,0.0,0.0,56.0,94.0,-89,-12,3,1,0,20,517,0
16:45:18,28.7,0.0,0.0,0.0,56.0,87.5,-87,-13,-3,2,0,20,517,0
16:45:19,62.6,0.0,0.0,0.1,56.0,94.0,-87,-12,-1,2,0,20,517,0
16:45:20,30.1,0.0,0.4,0.4,51.7,102.7,-88,-11,4,2,1,20,517,0
16:45:21,0.0,0.0,0.8,0.8,56.0,94.0,-87,-11,3,2,1,20,517,0
16:45:22,0.0,0.0,1.0,0.9,55.4,89.7,-88,-7,0,2,1,20,517,0
16:45:23,0.0,0.0,1.1,0.9,56.0,94.0,-87,-12,3,2,3,20,517,0
16:45:24,0.0,0.0,1.3,0.9,59.5,98.9,-85,-9,4,2,3,20,517,0
16:45:25,0.0,0.0,1.5,1.0,55.0,94.0,-85,-11,4,2,3,20,517,0
16:45:26,0.0,0.0,1.5,1.0,54.1,85.4,-88,-13,5,2,3,20,517,0
16:45:27,0.0,0.0,1.5,1.2,55.0,94.0,-86,-12,1,2,3,20,517,0
16:45:28,0.0,0.0,1.3,1.4,55.9,91.1,-95,-15,1,2,6,20,517,0
16:45:29,0.0,0.0,1.4,1.3,55.0,94.0,-91,-13,4,2,6,20,517,0
16:45:30,0.0,0.0,1.4,1.2,54.9,93.8,-95,-11,6,2,1,20,517,0
16:45:31,0.0,0.0,1.2,1.3,55.0,94.0,-91,-12,6,2,1,20,517,0
16:45:32,0.0,0.0,1.4,1.3,49.7,100.1,-88,-12,1,2,3,20,517,0
16:45:33,0.0,0.0,1.6,1.4,55.0,94.0,-88,-12,4,2,3,20,517,0
16:45:34,0.0,0.0,1.9,1.4,56.8,98.3,-95,-17,1,2,5,20,517,0
16:45:35,0.0,0.0,2.0,1.5,55.0,94.0,-93,-13,0,2,5,20,517,0
16:45:36,0.0,0.0,1.8,1.3,58.6,99.8,-88,-16,3,2,5,20,517,0
16:45:37,0.0,0.0,1.5,1.2,55.0,94.0,-90,-13,0,2,5,20,517,0
16:45:38,0.0,0.0,1.4,1.4,51.3,85.4,-85,-8,-2,2,5,20,517,0
16:45:39,0.0,0.0,1.6,1.3,55.0,94.0,-96,-13,0,2,6,20,517,0
16:45:40,0.0,0.0,1.8,1.3,53.0,99.1,-84,-14,1,2,6,20,517,0
16:45:41,0.0,0.0,1.9,1.2,55.0,94.0,-88,-13,2,2,6,20,517,0
16:45:42,0.0,0.0,2.8,2.2,52.2,86.9,-83,-15,-3,1,7,20,517,0
16:45:43,0.0,0.0,4.1,2.9,55.0,94.0,-87,-11,-5,1,7,20,517,0
16:45:44,0.0,0.0,2.8,2.0,58.1,102.9,-93,-13,-2,1,2,20,517,0
16:45:45,0.0,0.0,1.9,1.3,55.0,94.0,-89,-12,0,1,2,20,517,0
16:45:46,25.0,0.0,1.7,1.4,50.8,94.1,-90,-13,-1,1,6,20,517,0
16:45:47,55.4,0.0,1.7,1.4,55.0,94.0,-93,-14,0,1,6,20,517,0
16:45:48,29.4,0.0,1.7,1.3,50.9,102.0,-96,-9,-1,1,6,20,517,0
16:45:49,0.0,0.0,1.6,1.4,55.0,94.0,-95,-14,-1,1,7,20,517,0
