ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
16:46:24,96.5,0.0,6.4,0.2,32.0,98.0,-86,-13,2,2,9,20,416,0
16:46:25,79.4,0.0,6.1,0.1,29.4,107.3,-72,-7,17,3,7,20,11,0
16:46:26,53.9,0.0,5.0,0.0,32.0,98.0,-74,-10,17,3,7,20,11,0
16:46:27,44.1,0.0,5.5,0.0,34.1,96.9,-78,-14,17,3,7,20,11,0
16:46:28,35.2,0.0,5.1,0.0,32.0,98.0,-75,-10,25,2,10,20,11,0
16:46:29,56.3,0.0,5.3,0.0,31.1,107.2,-69,-7,26,4,7,20,11,0
16:46:30,88.2,0.0,5.2,0.0,32.0,98.0,-71,-10,24,4,7,20,11,0
16:46:31,88.9,0.0,5.2,0.1,33.6,107.2,-74,-6,23,4,7,20,11,0
16:46:32,90.8,0.0,6.0,0.2,32.0,98.0,-68,-10,8,3,5,20,11,0
16:46:33,102.4,0.0,5.3,0.2,30.3,101.3,-72,-6,9,3,5,20,11,0
16:46:34,115.3,0.0,5.4,0.1,32.0,98.0,-71,-10,13,2,13,20,11,0
16:46:35,88.5,0.0,5.6,0.1,30.6,101.6,-69,-6,11,2,13,20,11,0
16:46:36,68.5,0.0,5.2,0.0,32.0,98.0,-78,-11,2,2,10,20,11,0
16:46:37,81.5,0.0,4.5,0.0,33.8,97.2,-79,-14,-1,2,13,20,258,0
16:46:38,112.2,0.0,3.5,0.0,32.0,98.0,-74,-10,1,2,13,20,258,0
16:46:39,228.6,0.0,4.7,0.1,32.9,99.1,-77,-7,20,2,12,20,258,0
16:46:40,330.1,0.0,5.7,0.1,32.0,98.0,-73,-10,21,2,12,20,258,0
16:46:41,253.1,0.0,5.1,0.1,34.3,92.8,-69,-12,24,2,12,20,258,0
16:46:42,228.6,0.0,5.1,0.1,32.0,98.0,-67,-10,14,3,10,20,260,0
16:46:43,546.8,0.0,5.2,0.1,31.4,104.2,-69,-12,11,3,10,20,260,0
16:46:44,830.8,0.0,4.7,0.1,32.0,98.0,-69,-10,6,3,4,20,260,0
16:46:45,793.2,0.0,5.3,0.1,32.0,91.2,-66,-11,4,1,6,20,260,0
