ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
16:41:36,0.0,0.0,0.1,0.1,18.0,93.0,-81,-10,20,2,0,20,604,0
16:41:37,0.0,0.0,0.1,0.1,16.5,101.8,-83,-7,22,2,2,20,604,0
16:41:38,0.0,0.0,0.0,0.0,18.0,93.0,-85,-10,22,2,2,20,604,0
16:41:39,0.0,0.0,0.0,0.0,19.2,91.9,-89,-14,22,2,2,20,604,0
16:41:40,0.0,0.0,0.0,0.0,18.0,93.0,-82,-10,24,2,0,20,604,0
16:41:41,26.2,0.0,0.0,0.0,17.5,101.8,-84,-7,25,1,3,20,604,0
16:41:42,57.4,0.0,0.0,0.0,18.0,93.0,-86,-10,23,1,3,20,604,0
16:41:43,51.0,0.0,0.0,0.0,18.9,101.7,-89,-6,22,1,3,20,604,0
16:41:44,45.3,0.0,0.0,0.0,18.0,93.0,-91,-10,24,2,5,20,604,0
16:41:45,22.5,0.0,0.0,0.0,17.0,96.2,-95,-6,25,2,5,20,604,0
16:41:46,0.0,0.0,0.0,0.0,18.0,93.0,-85,-10,22,2,0,20,604,0
16:41:47,0.0,0.0,0.0,0.0,17.2,96.4,-83,-6,20,2,0,20,604,0
16:41:48,0.0,0.0,0.0,0.0,18.0,93.0,-81,-10,26,2,8,20,604,0
16:41:49,0.0,0.0,0.0,0.0,19.0,92.2,-86,-14,24,2,0,20,604,0
16:41:50,0.0,0.0,0.0,0.0,18.0,93.0,-81,-10,26,2,0,20,604,0
16:41:51,0.0,0.0,0.0,0.0,18.5,94.0,-82,-7,33,2,0,20,604,0
16:41:52,0.0,0.0,0.0,0.0,18.0,93.0,-78,-10,34,2,0,20,604,0
16:41:53,0.0,0.0,0.0,0.0,19.3,88.1,-74,-12,37,2,0,20,604,0
16:41:54,0.0,0.0,0.0,0.0,18.0,93.0,-87,-10,26,2,4,20,604,0
16:41:55,0.0,0.0,0.0,0.0,17.7,98.8,-89,-12,23,2,4,20,604,0
16:41:56,0.0,0.0,0.0,0.0,18.0,93.0,-109,-10,18,1,0,20,604,0
16:41:57,0.0,0.0,0.0,0.0,18.0,86.5,-114,-12,3,1,3,20,604,0
16:41:58,0.0,0.0,0.1,0.0,18.0,93.0,-114,-11,5,1,3,20,604,0
16:41:59,0.0,0.0,0.0,0.0,16.6,101.6,-125,-16,6,1,3,20,604,0
16:42:00,0.0,0.0,0.0,0.0,18.0,93.0,-124,-16,5,1,3,20,604,0
16:42:01,0.0,0.0,0.0,0.0,17.8,88.8,-125,-12,2,1,3,20,604,0
16:42:02,0.0,0.0,0.0,0.0,18.0,93.0,-81,-7,20,1,3,14,83,0
16:42:03,0.0,0.0,0.0,0.0,19.3,97.8,-83,-3,18,1,22,14,83,0
16:42:04,0.0,0.0,0.0,0.0,18.0,93.0,-83,-5,18,1,22,14,83,0
16:42:05,0.0,0.0,0.0,0.0,17.7,84.5,-86,-7,19,1,22,14,83,0
16:42:06,0.0,0.0,0.0,0.0,18.0,93.0,-81,-1,20,1,22,14,83,0
16:42:07,0.0,0.0,0.0,0.0,18.8,90.2,-81,-2,20,1,22,14,83,0
16:42:08,0.0,0.0,0.0,0.0,19.0,93.0,-77,0,23,1,22,14,83,0
16:42:09,0.0,0.0,0.1,0.0,18.5,92.3,-79,-2,27,1,22,14,83,0
16:42:10,0.0,0.0,0.1,0.0,18.0,92.0,-75,-3,27,1,22,14,83,0
16:42:11,32.1,0.0,0.1,0.2,16.3,98.0,-72,-3,28,1,26,14,83,0
16:42:12,67.3,0.0,0.2,0.4,18.0,92.0,-72,-3,31,1,26,14,83,0
16:42:13,34.0,0.0,0.5,0.6,18.6,96.2,-74,-8,33,1,26,14,83,0
16:42:14,0.0,0.0,0.8,0.9,18.0,92.0,-72,-4,32,1,26,14,83,0
16:42:15,0.0,0.0,3.4,3.1,20.8,98.2,-67,-7,35,1,26,14,83,0
16:42:16,0.0,0.0,5.9,5.5,21.0,93.0,-84,-11,32,1,26,14,83,0
16:42:17,0.0,0.0,3.5,3.5,19.6,84.5,-79,-6,30,1,26,14,83,0
16:42:18,0.0,0.0,1.5,0.9,21.0,93.0,-84,-10,33,1,26,14,83,0
16:42:19,0.0,0.0,1.5,1.3,20.2,98.1,-76,-12,30,1,26,14,83,0
16:42:20,0.0,0.0,1.4,1.6,21.0,93.0,-80,-11,31,1,26,14,83,0
16:42:21,0.0,0.0,1.4,1.6,19.9,86.0,-93,-13,33,1,26,14,83,0
16:42:22,0.0,0.0,1.5,1.4,21.0,93.0,-97,-9,31,1,26,14,83,0
16:42:23,0.0,0.0,1.3,1.3,22.2,101.8,-95,-10,27,1,26,14,83,0
16:42:24,0.0,0.0,1.3,1.4,21.0,93.0,-91,-9,29,1,26,14,83,0
16:42:25,0.0,0.0,1.3,1.5,19.4,93.1,-93,-7,29,1,26,14,83,0
16:42:26,0.0,0.0,1.5,1.4,21.0,93.0,-96,-8,30,1,26,14,83,0
16:42:27,0.0,0.0,1.7,1.3,19.4,101.0,-99,-3,29,1,26,14,83,0
16:42:28,0.0,0.0,1.7,1.3,21.0,93.0,-93,-8,30,1,26,14,83,0
16:42:29,0.0,0.0,1.6,1.3,22.8,84.2,-102,-10,28,1,26,14,83,0
16:42:30,0.0,0.0,1.2,1.3,21.0,93.0,-98,-11,26,1,26,14,83,0
16:42:31,0.0,0.0,1.5,1.5,22.8,98.7,-102,-10,28,1,26,14,83,0
16:42:32,0.0,0.0,1.5,1.6,21.0,93.0,-100,-4,26,1,25,14,83,0
16:42:33,0.0,0.0,1.5,1.4,19.9,93.6,-96,-7,33,1,24,14,83,0
16:42:34,0.0,0.0,1.3,1.0,21.0,93.0,-101,-11,31,1,24,14,83,0
16:42:35,23.4,0.0,1.3,0.8,33.8,92.1,-100,-14,29,1,24,14,83,0
16:42:36,47.6,0.0,1.3,0.6,42.0,93.0,-101,-11,31,1,24,14,83,0
16:42:37,25.0,0.0,1.3,0.6,42.8,86.4,-112,-7,34,1,26,14,83,0
16:42:38,0.0,0.0,1.6,0.6,42.0,93.0,-110,-5,31,1,26,14,83,0
16:42:39,0.0,0.0,1.5,0.7,38.8,84.1,-114,-8,29,1,26,14,83,0
16:42:40,0.0,0.0,1.5,0.8,42.0,93.0,-94,-1,27,1,23,14,83,0
16:42:41,0.0,0.0,1.5,1.0,40.5,93.1,-93,1,23,1,24,14,83,0
16:42:42,0.0,0.0,1.3,1.2,42.0,93.0,-96,-3,23,1,24,14,83,0
16:42:43,0.0,0.0,1.3,1.0,41.3,84.6,-101,2,23,1,24,14,83,0
16:42:44,0.0,0.0,1.5,0.8,42.0,93.0,-106,-7,22,1,20,14,83,0
16:42:45,0.0,0.0,1.3,0.9,38.6,99.4,-104,-1,23,1,19,14,83,0
16:42:46,0.0,0.0,1.4,0.8,42.0,93.0,-101,-6,24,1,19,14,83,0
16:42:47,0.0,0.0,1.5,0.7,42.3,93.3,-101,2,32,1,17,14,83,0
16:42:48,0.0,0.0,1.4,0.7,42.0,93.0,-104,-2,32,1,17,14,83,0
16:42:49,0.0,0.0,1.5,0.4,41.8,91.5,-106,-3,32,1,17,14,83,0
16:42:50,0.0,0.0,1.7,0.3,42.0,93.0,-109,-8,22,1,13,14,83,0
16:42:51,36.6,0.0,1.3,0.2,45.8,100.7,-110,-5,21,1,13,14,83,0
16:42:52,75.8,0.0,0.9,0.2,42.0,93.0,-77,-10,-4,1,1,20,849,0
16:42:53,38.2,0.0,1.3,0.3,42.3,95.5,-81,-7,-7,1,1,20,849,0
16:42:54,0.0,0.0,1.6,0.2,42.0,93.0,-70,-10,20,2,2,20,849,0
16:42:55,0.0,0.0,1.5,0.2,38.1,97.2,-73,-10,23,2,2,20,849,0
16:42:56,0.0,0.0,1.8,0.2,41.0,93.0,-90,-10,-12,4,5,20,849,0
16:42:57,0.0,0.0,1.7,0.4,43.3,98.5,-100,-13,13,3,3,20,849,0
16:42:58,0.0,0.0,1.5,0.6,41.0,93.0,-95,-10,11,3,3,20,849,0
16:42:59,0.0,0.0,1.4,0.9,41.6,92.4,-73,-7,-7,4,3,20,118,0
16:43:00,0.0,0.0,1.6,1.1,41.0,93.0,-74,-10,-9,4,3,20,118,0
16:43:01,0.0,0.0,1.5,1.2,37.9,85.9,-74,-8,-7,4,3,20,118,0
16:43:02,0.0,0.0,1.3,1.1,41.0,93.0,-82,-10,23,2,4,20,118,0
16:43:03,0.0,0.0,1.3,1.2,43.2,88.7,-83,-10,22,2,4,20,118,0
16:43:04,0.0,0.0,1.3,1.0,41.0,93.0,-80,-10,21,2,1,20,118,0
16:43:05,17.0,0.0,1.5,0.9,40.0,97.3,-71,-5,30,2,6,20,118,0
16:43:06,36.4,0.0,1.6,0.8,41.0,93.0,-76,-10,31,2,6,20,118,0
16:43:07,18.1,0.0,1.6,1.0,44.7,85.9,-62,-6,35,2,4,20,118,0
16:43:08,0.0,0.0,1.4,1.2,41.0,93.0,-65,-10,34,2,4,20,118,0
16:43:09,0.0,0.0,1.5,1.0,40.6,99.1,-60,-10,33,2,4,20,118,0
16:43:10,0.0,0.0,1.5,1.1,41.0,93.0,-70,-10,36,2,3,20,118,0
16:43:11,0.0,0.0,1.5,1.1,45.1,100.1,-71,-7,38,2,3,20,118,0
16:43:12,0.0,0.0,1.4,1.2,41.0,93.0,-70,-10,27,2,5,20,118,0
16:43:13,0.0,0.0,1.5,1.1,37.6,100.4,-73,-13,27,2,5,20,118,0
16:43:14,0.0,0.0,1.6,0.9,41.0,93.0,-73,-10,29,2,5,20,118,0
16:43:15,0.0,0.0,1.7,1.0,37.2,83.8,-77,-6,30,2,5,20,118,0
16:43:16,0.0,0.0,1.5,1.0,41.0,93.0,-62,-10,36,2,3,20,118,0
16:43:17,0.0,0.0,1.5,0.9,42.9,101.0,-66,-8,38,4,5,20,118,0
16:43:18,0.0,0.0,1.3,0.9,40.0,93.0,-70,-10,36,4,5,20,118,0
16:43:19,0.0,0.0,1.3,0.9,42.0,95.4,-64,-11,33,2,2,20,118,0
16:43:20,0.0,0.0,1.4,1.0,40.0,93.0,-68,-10,35,2,2,20,118,0
16:43:21,0.0,0.0,1.4,1.0,43.8,95.1,-73,-9,32,2,2,20,118,0
16:43:22,0.0,0.0,1.4,1.0,40.0,93.0,-67,-10,35,2,8,20,118,0
16:43:23,0.0,0.0,1.3,0.9,37.5,101.9,-72,-10,37,2,8,20,118,0
16:43:24,0.0,0.0,1.4,1.0,40.0,93.0,-75,-10,30,2,4,20,118,0
16:43:25,0.0,0.0,1.3,1.0,38.4,94.5,-77,-8,28,2,4,20,118,0
16:43:26,0.0,0.0,1.3,0.9,40.0,93.0,-74,-10,28,2,4,20,118,0
16:43:27,24.2,0.0,1.3,1.0,37.0,86.2,-69,-14,27,2,4,20,118,0
16:43:28,52.0,0.0,1.4,1.2,40.0,93.0,-77,-10,31,2,5,20,118,0
16:43:29,25.6,0.0,1.4,1.1,39.3,87.7,-80,-12,30,2,10,20,118,0
16:43:30,0.0,0.0,1.4,1.0,40.0,93.0,-81,-10,27,2,10,20,118,0
16:43:31,0.0,0.0,1.3,0.9,40.5,96.8,-86,-9,30,2,8,20,118,0
