ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
17:54:33,150.2,0.0,0.8,0.0,20.0,96.0,-84,-13,23,2,20,14,430,0
17:54:34,192.9,0.0,0.7,0.1,18.4,105.1,-77,-9,25,2,20,14,430,0
17:54:35,215.6,0.0,0.6,0.1,20.0,96.0,-79,-12,25,2,20,14,430,0
17:54:36,207.7,0.0,2.4,0.1,21.3,94.9,-83,-16,25,2,20,14,430,0
17:54:37,204.1,0.0,3.9,0.1,20.0,96.0,-79,-12,29,2,23,14,430,0
17:54:38,149.8,0.0,2.5,0.1,19.4,105.0,-82,-6,29,2,22,14,430,0
17:54:39,124.2,0.0,1.1,0.1,20.0,96.0,-84,-9,27,2,22,14,430,0
17:54:40,109.2,0.0,1.1,0.0,21.0,105.0,-87,-5,26,2,22,14,430,0
17:54:41,95.7,0.0,1.3,0.0,20.0,96.0,-81,-8,30,2,22,14,430,0
17:54:42,134.1,0.0,1.0,0.0,18.9,99.3,-85,-4,31,2,22,14,430,0
17:54:43,174.2,0.0,0.9,0.0,20.0,96.0,-81,-8,25,1,23,14,430,0
17:54:44,158.7,0.0,1.3,0.1,19.2,99.5,-79,-4,23,1,23,14,430,0
17:54:45,155.5,0.0,1.6,0.1,20.0,96.0,-81,-8,27,1,24,14,430,0
17:54:46,144.4,0.0,0.9,0.1,21.1,95.2,-86,-12,28,2,23,14,430,0
17:54:47,164.8,0.0,0.2,0.0,20.0,96.0,-81,-8,30,2,23,14,430,0
17:54:48,85.2,0.0,0.1,0.0,20.5,97.0,-86,-6,26,1,10,14,430,0
17:54:49,0.0,0.0,0.0,0.0,20.0,96.0,-82,-9,27,1,10,14,430,0
17:54:50,31.0,0.0,0.0,0.0,21.4,90.9,-78,-11,30,1,10,14,430,0
17:54:51,68.4,0.0,0.0,0.0,20.0,96.0,-82,-9,26,2,17,14,430,0
17:54:52,158.1,0.0,0.9,0.0,19.6,102.0,-84,-11,23,2,17,14,430,0
17:54:53,237.8,0.0,1.6,0.1,20.0,96.0,-82,-9,29,2,20,14,430,0
17:54:54,172.0,0.0,1.1,0.1,20.0,89.3,-82,-10,26,2,22,14,430,0
17:54:55,137.0,0.0,0.6,0.1,20.0,96.0,-82,-9,28,2,22,14,430,0
17:54:56,198.5,0.0,1.8,0.1,18.5,104.9,-83,-9,28,1,22,14,430,0
17:54:57,276.5,0.0,3.1,0.2,20.0,96.0,-82,-9,27,1,22,14,430,0
17:54:58,238.0,0.0,3.4,0.2,19.8,91.6,-83,-5,24,1,22,14,430,0
17:54:59,222.8,0.0,3.4,0.1,20.0,96.0,-82,-9,30,2,22,14,430,0
17:55:00,203.5,0.0,2.8,0.1,21.4,101.0,-82,-7,28,1,17,14,430,0
17:55:01,209.9,0.0,2.1,0.1,20.0,96.0,-82,-9,28,1,17,14,430,0
17:55:02,208.8,0.0,2.1,0.1,19.7,87.2,-85,-11,29,1,17,14,430,0
17:55:03,197.4,0.0,2.0,0.1,20.0,96.0,-82,-9,28,1,20,14,430,0
17:55:04,197.4,0.0,0.9,0.1,20.3,93.1,-86,-11,26,1,22,14,430,0
17:55:05,231.5,0.0,0.0,0.0,20.0,96.0,-82,-9,29,1,22,14,430,0
17:55:06,234.0,0.0,1.0,0.0,19.9,95.8,-86,-8,28,2,23,14,430,0
17:55:07,197.2,0.0,1.9,0.1,20.0,96.0,-82,-9,28,2,23,14,430,0
17:55:08,199.1,0.0,1.9,0.1,18.1,102.3,-82,-9,26,1,1,14,430,0
17:55:09,220.5,0.0,2.0,0.1,20.0,96.0,-82,-9,29,1,1,14,430,0
17:55:10,220.6,0.0,2.0,0.1,20.6,100.4,-84,-13,28,1,19,14,430,0
17:55:11,215.9,0.0,2.0,0.1,20.0,96.0,-82,-9,27,1,19,14,430,0
17:55:12,161.4,0.0,1.0,0.1,21.3,101.9,-77,-12,30,1,19,14,430,0
17:55:13,125.3,0.0,0.0,0.0,20.0,96.0,-82,-9,29,1,20,14,430,0
17:55:14,86.7,0.0,0.0,0.0,18.7,87.3,-77,-4,27,1,20,14,430,0
17:55:15,55.8,0.0,0.0,0.0,20.0,96.0,-82,-9,25,2,20,14,430,0
17:55:16,152.0,0.0,1.1,0.0,19.3,101.2,-78,-10,30,2,22,14,430,0
17:55:17,233.9,0.0,2.0,0.1,20.0,96.0,-82,-9,31,2,22,14,430,0
17:55:18,207.7,0.0,2.0,0.1,19.0,88.8,-78,-13,30,2,20,14,430,0
17:55:19,218.2,0.0,2.3,0.1,20.0,96.0,-82,-9,28,2,20,14,430,0
17:55:20,192.8,0.0,1.1,0.0,21.1,105.1,-86,-10,30,2,22,14,430,0
17:55:21,159.9,0.0,0.0,0.0,20.0,96.0,-82,-9,32,2,22,14,430,0
17:55:22,191.3,0.0,1.4,0.1,18.5,96.1,-84,-10,24,1,22,14,430,0
17:55:23,263.8,0.0,2.9,0.1,20.0,96.0,-87,-11,25,1,22,14,430,0
17:55:24,199.4,0.0,1.5,0.1,18.5,104.2,-90,-6,24,1,22,14,430,0
17:55:25,112.1,0.0,0.0,0.0,20.0,96.0,-88,-15,28,2,24,14,430,0
17:55:26,177.2,0.0,1.0,0.0,21.7,86.9,-92,-14,25,2,26,14,430,0
17:55:27,243.2,0.0,1.8,0.1,20.0,96.0,-88,-15,23,2,26,14,430,0
17:55:28,223.8,0.0,1.9,0.1,21.7,101.8,-92,-14,25,2,26,14,430,0
17:55:29,239.1,0.0,1.6,0.1,20.0,96.0,-88,-6,21,1,24,14,430,0
17:55:30,222.9,0.0,1.9,0.1,18.9,96.6,-104,-9,3,1,9,14,497,0
17:55:31,254.3,0.0,2.0,0.1,20.0,96.0,-109,-13,1,1,9,14,497,0
17:55:32,255.9,0.0,2.0,0.1,21.5,95.1,-108,-16,-1,1,9,14,497,0
17:55:33,266.7,0.0,2.1,0.1,20.0,96.0,-89,-7,34,1,20,14,497,0
17:55:34,200.8,0.0,1.0,0.1,20.4,89.2,-98,-5,16,1,17,14,497,0
17:55:35,116.0,0.0,0.1,0.0,20.0,96.0,-96,-3,13,1,17,14,497,0
17:55:36,62.9,0.0,0.1,0.0,18.5,86.8,-100,-6,11,1,17,14,497,0
17:55:37,0.0,0.0,0.0,0.0,20.0,96.0,-96,-1,18,1,19,14,497,0
17:55:38,52.2,0.0,0.0,0.0,19.3,96.1,-92,-1,23,1,20,14,497,0
