ts,rtt,pkgLossRat,dlThroughput,ulThroughput,dnsLatency,dnsSuccessRate,rsrp,rsrq,snr,mimoLayer,mcs,rat,cid,label
18:02:46,0.0,0.0,0.7,0.7,123.0,91.0,-83,-10,32,2,6,20,990,0
18:02:47,44.1,0.0,0.7,0.7,113.0,99.7,-82,-7,12,2,6,20,990,0
18:02:48,83.6,0.0,0.6,0.6,123.0,91.0,-84,-10,12,2,6,20,990,0
18:02:49,41.4,0.0,10.8,0.4,130.4,90.0,-88,-14,12,2,6,20,990,0
18:02:50,0.0,0.0,19.3,0.2,122.0,91.0,-85,-10,5,2,3,20,990,0
18:02:51,0.0,0.0,10.5,0.3,111.2,99.6,-89,-7,33,2,4,20,910,0
18:02:52,0.0,0.0,1.1,0.3,107.0,91.0,-91,-10,31,2,4,20,910,0
18:02:53,54.0,0.0,1.3,0.2,112.2,99.5,-94,-6,30,2,4,20,910,0
18:02:54,108.8,0.0,1.6,0.0,107.0,91.0,-91,-10,30,2,3,20,910,0
18:02:55,149.3,0.0,0.8,0.0,101.2,94.1,-95,-6,31,2,3,20,910,0
18:02:56,191.7,0.0,0.0,0.1,107.0,91.0,-90,-10,33,2,2,20,910,0
18:02:57,164.0,0.0,0.0,0.0,102.5,94.3,-88,-6,31,2,2,20,910,0
18:02:58,149.1,0.0,0.0,0.0,107.0,91.0,-90,-10,33,2,0,20,910,0
18:02:59,96.5,0.0,0.0,0.0,113.0,90.3,-91,-14,32,2,7,20,910,0
18:03:00,65.0,0.0,0.0,0.1,107.0,91.0,-86,-10,34,2,7,20,910,0
18:03:01,58.8,0.0,0.2,0.3,109.9,92.0,-93,-7,31,2,9,20,910,0
18:03:02,48.7,0.0,0.4,0.5,107.0,91.0,-89,-10,32,2,9,20,910,0
18:03:03,22.1,0.0,0.6,0.6,114.6,86.2,-85,-12,35,2,9,20,910,0
18:03:04,0.0,0.0,1.0,0.8,107.0,91.0,-87,-10,31,2,9,20,910,0
18:03:05,0.0,0.0,1.2,1.0,105.0,96.7,-89,-12,28,2,9,20,910,0
18:03:06,0.0,0.0,1.3,1.1,107.0,91.0,-89,-10,31,2,12,20,910,0
18:03:07,0.0,0.0,1.3,1.1,107.0,84.7,-90,-11,29,2,6,20,910,0
18:03:08,0.0,0.0,1.3,1.2,107.0,91.0,-90,-10,31,2,6,20,910,0
18:03:09,0.0,0.0,2.6,1.7,98.8,99.4,-93,-10,29,2,10,20,910,0
18:03:10,0.0,0.0,4.0,2.5,107.0,91.0,-92,-10,28,2,10,20,910,0
